protein	iFOT.C_2_1	iFOT.C_2_3	iFOT.C_3_1	iFOT.C_3_2	iFOT.C_4_4	iFOT.C_4_5	iFOT.C_4_8	iFOT.C_5_3	iFOT.Z_1_3	iFOT.Z_1_4	iFOT.Z_2_10	iFOT.Z_2_11	iFOT.Z_4_12	iFOT.Z_5_6	iFOT.Z_5_7	iFOT.Z_6_3
Cpeb4	0.31	0.46	0.54	0.1	0.45	0.06	0.34	0.09	0.01	0.02	0.28	0.02	0.04	0.03	0.04	0.03
Sin3b	0.22	0.16	0.22	0.1	0.38	0.05	0.31	0.25	0.09	0.06	0.13	0.02	0.07	0.02	0.04	0.01
Gprasp1	0.03	0.12	0.03	0.03	0.1	0.09	0.08	0.11	0.02	0.01	0.03	0.01	0.02	0.02	0.02	0.02
Ankrd13d	0.21	0.5	0.14	0.26	0.23	0.18	0.15	0.41	0.09	0.06	0.01	0.03	0.09	0.1	0.13	0.07
Fam3c	1.38	0.33	4.38	1.91	1.8	0.25	2.78	5.72	0.19	0.2	0.65	0.22	0.01	1.73	0.46	1.77
Fkbp1b	9.72	4.11	13	10.3	6.62	4.03	7.05	4.87	2.49	2.99	2.4	2.5	2.33	0.01	2.25	2.34
Kit	2.74	0.36	3.06	0.91	2.22	1.68	0.33	3	0.01	0.08	2.4	0.41	0.26	0.74	0.28	0.11
Cntn4	0.83	0.99	0.94	1.23	0.81	1.07	1.12	0.55	0.01	0.1	0.46	0.49	0.3	0.47	0.35	0.13
Mtss1l	1.01	1.6	0.33	0.95	1.12	0.83	1.27	0.51	0.02	0.32	0.56	0.35	0.53	0.01	0.32	0.22
Fbxl16	0.42	0.72	0.26	0.39	0.85	0.35	0.37	0.24	0.2	0.28	0.25	0.1	0.07	0.05	0.01	0.16
Pitpnm2	0.06	0.44	0.27	0.26	0.3	0.21	0.38	0.14	0.22	0.02	0.12	0.04	0.01	0.03	0.16	0.07
Pcyt2	0.25	0.96	2.3	1.23	1.84	0.27	1.93	0.78	0.21	0.84	0.17	0.68	0.01	0.2	0.54	0.51
Celsr3	0.11	0.19	0.05	0.07	0.11	0.11	0.17	0.13	0.01	0.05	0.06	0.02	0.01	0.07	0.05	0.04
Pelp1	0.81	1.17	2.03	0.81	1.39	0.1	1.84	0.57	0.83	0.01	0.33	0.17	0.34	0.09	0.15	1.05
Kif3b	1.46	1.08	0.79	1.42	2.17	0.86	1.7	1.27	0.11	1.36	0.42	0.01	0.39	0.29	0.69	0.57
Yy1	0.87	0.65	0.72	1.97	1	0.26	3.71	2.28	0.51	0.74	0.58	0.12	1.1	0.22	0.01	0.8
Senp3	1.53	1.56	1.65	0.71	1.53	0.33	2.69	1.11	0.87	0.11	0.98	0.29	0.68	0.01	0.42	0.61
Lnp	1.5	1.25	1.08	1.03	1.19	1.01	1.31	1.27	0.01	0.25	0.4	0.25	0.22	0.88	0.88	0.65
Shank2	0.07	0.15	0.13	0.19	0.18	0.16	0.14	0.27	0.05	0.05	0.07	0.01	0.03	0.02	0.01	0.28
Nop16	1.95	1.66	1.06	1.75	1.97	1.42	1.65	2.01	1.02	0.4	1.05	0.94	0.01	0.73	0.65	0.49
Nwd2	0.02	0.08	0.02	0.07	0.06	0.02	0.04	0.04	0.01	0.01	0.05	0.01	0.01	0.01	0.02	0.03
Fads2	1.62	1.31	0.85	1.66	0.86	0.47	2.59	1.5	1.57	0.25	0.46	0.01	0.27	0.48	0.37	0.87
Mb21d2	0.41	0.28	0.49	0.38	1.39	0.39	0.38	0.31	0.1	0.27	0.27	0.08	0.01	0.26	0.28	0.31
Ggt7	0.56	0.93	0.53	0.67	0.73	0.76	0.55	0.89	0.23	0.01	0.68	0.29	0.25	0.63	0.09	0.07
Bri3bp	4.4	8.43	3.62	3.86	4.45	0.98	6.39	5.41	3.76	0.01	5.43	0.57	0.99	1.57	1.36	1.48
Arnt2	0.95	1.11	0.51	0.41	1.23	0.19	0.78	0.65	0.4	0.16	0.67	0.01	0.4	0.07	0.24	0.42
Wdr18	2.64	5.64	2.45	2.03	3.5	0.99	3.92	2.98	3.94	0.06	1.12	0.01	1.73	0.53	1.1	1.59
Stk25	0.54	0.6	0.36	0.46	0.78	0.55	0.78	0.14	0.07	0.01	0.45	0.29	0.24	0.18	0.09	0.43
Nbas	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Adam22	0.27	0.3	0.86	1.04	1.1	0.61	0.43	0.88	0.44	0.01	0.29	0.62	0.12	0.4	0.24	0.24
Trappc4	2.04	0.62	1.07	0.99	1.56	0.55	3.12	1.58	1	0.01	0.19	0.87	0.58	0.62	0.43	1.28
Msh2	0.33	0.77	0.48	0.37	0.48	0.06	0.52	0.26	0.19	0.22	0.23	0.01	0.21	0.2	0.28	0.08
Pde6d	10.78	3.24	2.83	3.34	17.19	9.83	9.22	12.77	5.19	5.18	0.01	4.37	4.02	3.98	3.15	4.37
Fam213b	3.14	3.47	0.48	3.65	0.47	2.55	3.53	2.43	0.4	1.83	0.9	1.32	1.66	0.94	0.01	1.59
Lysmd1	1.95	1.33	0.23	1.47	1.14	0.3	1.48	1.19	0.24	0.63	0.63	1.58	0.2	0.6	0.22	0.01
Bcl11b	2.06	2.08	1.77	1.3	2	0.16	2.1	1.65	1.82	0.55	0.45	0.01	0.87	0.08	0.87	1.55
Tubgcp2	0.06	0.06	0.05	0.12	0.09	0.05	0.07	0.11	0.05	0.02	0.05	0.01	0.04	0.04	0.04	0.04
Gabrb3	2.31	2.29	1.04	1.13	3.05	2.28	2.01	2.36	1.21	1.17	2.97	0.83	0.78	0.17	0.79	0.01
Rftn1	0.73	0.29	0.93	1.41	0.39	1.52	1.23	1.45	0.4	0.91	0.46	0.28	0.01	0.64	0.31	0.91
Dpp10	0.77	0.43	0.63	1.08	1.08	0.83	0.78	0.69	0.11	0.42	0.01	0.6	0.42	0.58	0.66	0.33
Psd3	0.71	1.16	1.3	1.41	2.27	3.16	1.93	1.61	0.01	1.05	1.1	0.79	1.33	0.57	0.95	0.98
Plxnd1	0.26	0.25	0.22	0.14	0.75	0.29	0.04	0.8	0.01	0.01	0.06	0.03	0.02	0.02	0.01	0.01
Pcdh19	0.33	0.26	0.17	0.41	2.33	1.8	1.99	0.28	0.03	0.01	0.17	0.06	0.01	0.24	0.09	0.04
Gabrb2	2.24	5.31	1.08	2.14	6.26	2.01	2.14	5.34	0.52	0.35	0.67	0.24	0.98	0.24	0.5	0.28
Exoc3	0.38	1.24	0.38	1	1.83	0.07	1.39	0.73	0.1	0.22	0.28	0.07	0.23	0.04	0.08	0.02
Grik3	0.11	0.1	0.08	0.12	0.19	0.11	0.22	0.42	0.11	0.01	0.03	0.02	0.01	0.04	0.01	0.03
Fat3	0.38	0.28	0.34	0.38	0.37	0.4	0.29	0.3	0.08	0.03	0.06	0.07	0.03	0.12	0.11	0.07
Sar1a	8.39	5.92	7.09	7.79	7.98	1.08	6.26	5.56	1.68	0.16	1.49	2.01	1.38	1.26	1.84	1.15
Ctif	0.25	0.59	0.29	0.28	0.12	0.11	0.1	0.25	0.08	0.03	0.08	0.07	0.05	0.06	0.07	0.02
Scoc	10.63	1.61	7.78	9.92	5.74	4.48	1.04	0.64	0.77	3.69	0.48	2.03	0.63	1.48	0.85	0.37
Prepl	1.56	1.58	1.95	2.48	2.56	1.57	1.97	1.61	0.15	0.44	1.11	0.31	0.28	0.6	0.72	0.23
Satb2	3.5	3.9	3.25	2.96	3.91	0.52	3.3	3.99	3.35	0.39	1.59	0.08	0.64	0.1	0.18	0.14
Sema7a	1.22	1.37	0.22	0.41	1.81	1.28	0.74	0.75	0.55	0.18	0.28	0.39	0.16	0.15	0.14	0.2
Tsr1	0.2	0.28	0.18	0.27	0.37	0.06	0.86	0.42	0.14	0.07	0.16	0.04	0.09	0.04	0.06	0.1
Pnmal2	0.4	0.84	0.4	0.71	0.63	0.33	0.86	0.44	0.21	0.05	0.22	0.07	0.16	0.08	0.18	0.28
Rtf1	1.42	1.66	0.84	0.31	0.66	0.17	2.27	0.55	0.59	0.3	0.21	0.09	0.33	0.28	0.11	0.35
Diras2	2.5	2.88	1.98	5.23	2.88	3.84	4.54	1	2.32	0.84	0.59	0.42	0.46	0.46	0.6	1.52
Magee2	0.64	0.61	0.59	0.89	0.39	0.7	1.06	0.1	0.21	0.48	0.09	0.04	0.06	0.37	0.1	0.1
Chd5	0.16	0.23	0.09	0.08	0.49	0.02	0.22	0.13	0.12	0.01	0.09	0.08	0.03	0.01	0.02	0.05
Fdft1	1.43	1.31	1.81	1.18	2.24	1.33	0.83	2.42	0.81	0.48	0.54	0.1	0.25	0.3	0.23	0.96
Grm3	2.03	3.18	1.72	2.97	3.6	1.98	2.42	2.42	0.94	0.74	0.96	0.89	0.42	0.92	0.8	0.31
Atcay	3.94	0.87	1.74	1.66	3.7	1.44	0.73	1.54	1.2	0.71	0.86	0.31	0.26	0.72	0.31	0.28
Scg5	9.29	7.08	11.28	3.68	15.31	3.82	7.37	10.97	0.47	1.62	1.03	4.54	1.57	4.44	5.13	1.73
Eef1akmt2	1.06	0.25	0.73	0.35	0.21	0.62	0.1	0.09	0.22	0.05	0.12	0.16	0.14	0.07	0.16	0.11
Cdh8	2.19	2.01	0.5	1.13	2.49	1.64	0.83	2.13	0.16	0.19	0.19	1.04	0.24	0.89	0.53	0.71
Ntrk2	1.69	1.57	1.57	1.7	2.02	1.06	1.71	0.66	0.79	0.31	0.68	0.7	0.27	0.33	0.3	0.33
Aacs	3.58	3.28	1.62	3.1	3.39	2.32	4.87	4.66	1.23	0.62	1.59	0.54	0.71	0.78	1.54	1.26
Rgs7	2.15	2.4	2.37	2.63	2.94	3.21	4.44	4.14	0.83	0.52	0.94	1.23	1.33	1.27	0.75	0.73
Mef2c	7.55	6.95	5.38	4.52	5.96	1.24	6.8	6.04	4.57	1.08	2.79	0.95	2.7	0.58	0.55	0.95
Rundc3a	0.62	0.49	0.39	0.99	1.04	0.11	0.96	0.32	0.26	0.18	0.14	0.08	0.15	0.27	0.17	0.34
Nos1	0.22	0.08	0.08	0.34	0.27	0.16	0.35	0.31	0.03	0.05	0.26	0.08	0.04	0.04	0.01	0.09
Gabbr2	1.11	0.92	0.7	0.77	0.68	1.07	1.67	1.32	0.24	0.18	0.6	0.19	0.2	0.32	0.75	0.21
Tomm20	10.37	7.85	1.42	7.32	2.34	9.76	10.76	9.92	7.17	1.11	1.46	1.89	1.8	2.47	2.23	1.46
Serpini1	1.08	1.2	0.68	0.63	1.64	0.78	2.11	2.45	0.45	0.3	0.53	0.29	0.63	0.44	0.61	0.3
Supt6	0.45	0.66	0.56	0.69	0.48	0.12	0.9	0.82	0.17	0.16	0.44	0.02	0.31	0.09	0.22	0.17
Psd	1.81	2.06	1.46	2.37	2.02	1.37	1.93	1.43	0.65	0.65	0.43	0.68	0.73	0.64	0.65	0.59
Larp4b	0.29	0.49	0.83	0.5	0.48	0.26	0.28	0.29	0.23	0.08	0.12	0.29	0.11	0.14	0.11	0.12
Yes1	0.69	0.55	0.75	0.94	1.14	0.73	0.76	0.73	0.54	0.18	0.13	0.54	0.1	0.43	0.16	0.13
0610009B22Rik	2.26	1.41	1.98	2.06	2.13	2.94	2.29	2.83	0.37	0.17	0.62	0.17	2.12	0.3	2.27	0.34
Fyttd1	6.96	5.36	4.86	5.19	2.72	0.96	5.96	4.39	1.86	1.18	4.08	0.56	2.61	0.35	1.33	1.17
Rlbp1	7.26	6.26	6.28	6.6	4.82	11.24	4.86	5.47	3.46	2.69	3.24	1.67	2.92	1.63	1.3	2.15
Wbp2	13.93	7.83	14.76	11.5	16.55	13.26	19.9	5.34	5.89	4.31	5.5	5.15	6.18	3.37	5.67	1.42
Osbpl8	0.49	0.62	0.43	0.7	0.58	0.45	0.49	0.35	0.28	0.1	0.48	0.11	0.17	0.1	0.08	0.18
Hpca	7.81	5.57	10.33	11.07	14.22	5.57	9.07	11.1	3.29	2.59	1.37	2.28	4.92	4.64	5.84	2.42
Rap1gap	1.13	0.93	0.5	0.82	0.61	0.61	1.59	0.72	0.29	0.76	0.29	0.21	0.16	0.36	0.26	0.2
Grcc10	14.58	9.17	11.52	17.57	15.08	12.85	9.16	5.44	2.24	2.78	1.91	5.73	5.46	5.92	5.73	5.3
Ap3m1	1.79	3.06	1.25	2.03	1.53	1.23	3.19	2.12	1.65	0.43	1.03	0.52	0.88	0.21	0.97	0.29
Slc4a4	1.22	0.9	1.36	0.85	2.18	1.2	1.89	2.44	0.28	0.13	0.76	0.42	0.73	0.87	1.17	0.11
Scn2a	0.97	1.36	0.61	1.58	1.34	0.57	0.76	1.06	0.36	0.26	0.36	0.31	0.38	0.72	0.45	0.23
Acbd6	1.71	1.06	0.61	1.52	2.04	1.49	2.24	2.96	0.42	0.32	0.63	1.7	0.37	0.59	0.48	0.57
Wdr6	0.83	0.7	1	1.09	0.74	0.5	0.9	1.05	0.36	0.19	0.65	0.15	0.24	0.26	0.43	0.27
Trim46	1.2	1.22	1.11	0.49	1.11	0.71	1.2	1.64	0.58	0.14	0.77	0.24	0.47	0.34	0.36	0.35
Gad1	0.4	0.64	0.79	1.81	1.89	0.55	1.23	0.95	0.21	0.23	0.51	0.29	0.26	0.45	0.66	0.49
Tcf4	1.05	0.99	1.96	1.38	1	1.05	1.82	2.11	0.84	0.56	0.67	0.57	0.48	0.28	0.26	0.6
Oxr1	0.53	0.4	1	1.22	1.17	0.41	1.63	0.79	0.54	0.39	0.72	0.11	0.45	0.06	0.07	0.36
Ttyh3	1.77	1.31	1.56	1.95	2.23	3.11	1.29	1.66	0.59	0.34	1.39	0.52	0.61	0.57	1.12	0.48
Epha4	1.36	2.35	1.89	2.04	3.07	2.45	1.81	1.58	0.75	0.45	0.79	0.92	0.63	0.92	0.77	1.03
Glul	25.69	37.24	36.66	44.34	30.53	20.69	41.01	44.84	21.29	13.16	22.4	8.28	14.1	11.89	8.52	6.85
Ube2g1	10.71	11.68	6	4.29	10.82	5.96	10.75	6.08	3.12	3.68	3.65	0.49	2.93	2.61	4.24	4.53
Spock2	1.08	1.05	0.79	1.65	0.27	1.1	1.03	2.03	0.38	0.53	0.61	0.1	0.33	0.9	0.13	0.45
Ogt	2.65	3.05	1.74	1.66	2.25	0.14	4.18	2.71	1.5	0.77	2.27	0.03	0.9	0.18	0.2	1.16
Ehbp1	0.26	0.94	0.35	0.82	0.84	0.68	1.5	1.16	0.29	0.24	0.45	0.29	0.02	0.35	0.6	0.28
Pex5	1.83	1.6	1.18	1.02	1.79	2.08	1.54	2.08	0.4	0.52	1.61	0.41	0.43	0.75	0.46	0.5
Agap1	2.37	2.21	0.77	2.44	3.12	0.43	2.56	2.23	0.87	0.45	0.53	0.32	0.47	1.91	0.55	1.14
Islr2	5.65	2.93	3.88	4.49	3.7	5.71	5.14	5.2	1.74	2.37	2.61	0.66	1.46	1.79	0.75	2.95
Las1l	0.42	1.06	0.41	0.26	0.78	0.09	0.69	0.2	0.67	0.07	0.24	0.07	0.17	0.07	0.15	0.09
Ptprg	0.37	0.04	0.11	0.2	0.11	0.5	0.3	0.28	0.05	0.07	0.07	0.06	0.06	0.06	0.24	0.14
Cc2d1a	0.47	0.44	0.29	0.75	1.21	0.37	0.41	0.74	0.41	0.28	0.09	0.21	0.08	0.31	0.17	0.29
Mdga1	0.14	0.13	0.25	0.18	0.29	0.28	0.55	0.22	0.05	0.1	0.24	0.06	0.06	0.09	0.14	0.07
Dlat	1.31	1.32	0.88	0.88	1.13	0.95	2.08	1.01	0.1	0.4	0.82	0.55	0.6	0.5	0.45	0.39
Rab11fip5	0.52	0.62	0.69	1.04	0.9	0.65	0.79	1.26	0.13	0.25	0.28	0.12	0.48	0.46	0.26	0.6
Ttbk1	0.08	0.06	0.06	0.11	0.05	0.03	0.07	0.1	0.02	0.01	0.05	0.01	0.02	0.07	0.02	0.01
Lmtk3	0.96	0.51	0.71	0.47	0.66	0.75	0.98	0.62	0.44	0.1	0.49	0.05	0.39	0.4	0.24	0.16
Mtmr9	0.74	0.65	0.82	1.01	1.15	0.3	1.58	1.33	0.32	0.19	0.63	0.4	0.32	0.31	0.48	0.39
Olfm2	0.47	0.27	0.25	0.51	0.34	1.03	0.38	0.64	0.23	0.26	0.2	0.15	0.13	0.2	0.2	0.2
Taok1	1.03	0.85	0.57	1.21	1	0.35	0.73	0.81	0.36	0.14	0.21	0.14	0.09	0.56	0.66	0.47
Hmgcs1	65.47	72.14	61.75	62.09	62.16	63.33	59.57	64.5	37.67	23.13	41.44	18.82	23.01	18.19	16.11	28.22
Bdh1	3.6	5.76	4.22	4.08	4.19	4.4	5.06	5.15	3.39	1.89	2.69	0.73	1.94	1.09	1.88	1.14
Atl2	0.65	0.98	0.77	0.88	1.3	0.55	1.14	1.34	0.57	0.23	0.78	0.2	0.26	0.28	0.4	0.41
Birc6	0.15	0.19	0.11	0.14	0.14	0.14	0.21	0.17	0.08	0.02	0.1	0.07	0.06	0.04	0.07	0.06
Coasy	0.58	0.36	0.37	0.48	0.38	0.23	0.71	0.24	0.29	0.09	0.26	0.17	0.14	0.12	0.13	0.18
Grk2	3.37	2.64	1.25	2.49	3.11	1.45	2.98	2.34	1.48	0.48	1.59	0.83	0.84	1.11	1.05	0.77
Nell2	0.72	1.17	1.28	1.29	1.93	1.63	0.87	2.63	1.52	1.33	0.28	0.32	0.29	0.08	0.25	0.73
Gucy1a3	0.76	0.91	0.51	0.95	1.51	0.67	1.39	1.05	0.51	0.25	0.63	0.32	0.5	0.13	0.47	0.4
Slc27a4	0.9	1.09	0.96	0.73	1.23	0.37	1.36	1.03	0.54	0.57	0.63	0.07	0.14	0.47	0.47	0.31
Ptprs	5.61	4.63	4.02	4.91	6.85	4.12	6.4	5.64	2.11	1.73	2.3	2.04	2.4	2.69	2.18	2.26
Daam1	0.68	0.45	0.28	0.53	0.9	0.67	0.43	0.68	0.46	0.38	0.29	0.15	0.1	0.21	0.23	0.12
Sult4a1	1.88	1.82	1.72	3.09	2.64	2.56	2.95	2.61	0.98	0.58	1.2	1.02	1.05	1.39	0.88	1.04
Zwint	1.5	1.04	2.51	1.63	3.22	2.89	0.63	1.69	1.48	0.12	0.32	1.2	0.26	2.26	0.68	0.12
Trim67	2.04	1.05	1.68	1.83	2.85	2.59	2.16	1.59	2.02	0.63	0.45	0.66	0.55	1.27	0.16	1.01
Stum	24.95	23.24	25.07	28.74	31.33	16.62	18.32	27.51	8.74	10	23.57	10.42	8.78	6.41	8.58	7.5
Sfxn1	1.05	0.65	0.61	1.08	1.56	0.56	1.47	1.05	0.34	0.66	0.42	0.4	0.45	0.17	0.66	0.35
Dtna	0.58	0.9	0.67	1.12	0.83	0.52	0.91	1.46	0.6	0.29	0.43	0.27	0.38	0.45	0.3	0.29
Spag7	2.86	4.1	4.01	3.83	2.5	1.88	1.85	1.97	0.57	1.45	2.24	1.93	0.57	0.84	1.09	1.23
Gapvd1	0.91	1.21	0.58	1.63	1.3	1.06	2.53	3.24	0.69	0.53	1.22	0.35	0.61	0.86	0.26	0.86
Chl1	22.39	17.04	17.72	21.2	22.12	24.37	14.67	18.41	6.71	6.18	8.85	9.4	8.5	10.87	11.09	7.04
Flot1	1.23	3.03	1.36	3.1	3.95	2.01	2.58	1.16	1.19	0.89	1.21	0.92	0.32	1.41	0.83	1.28
Cfap36	2.75	2.25	3.2	3.03	3.16	2.47	1.46	1.85	1.42	0.49	1.66	1.26	1.3	0.88	0.97	0.86
Ccdc28b	1.18	0.72	0.82	1.03	0.71	0.22	0.57	0.38	0.35	0.07	0.33	0.65	0.27	0.51	0.18	0.11
Akap7	58.18	48.24	58.77	43.89	47.36	71.54	33.54	80.87	16.19	35.05	29.81	21.23	16.56	25.95	31.76	17.64
Trove2	2.74	1.84	1.76	2.24	1.86	1.12	3.03	2.22	1.01	0.47	1.61	0.95	0.93	0.47	1.11	0.83
Rasgrp2	1.01	1.25	0.59	1.83	2.04	1.02	1.91	1.56	0.46	0.27	0.88	0.46	0.73	0.5	0.74	0.88
Gtf2i	5.8	8.38	2.57	3.26	7.42	0.74	6.54	4.12	2.45	0.43	6.16	2.21	1.73	0.84	1.4	1.9
Osbpl1a	0.91	0.84	0.51	0.89	0.84	0.55	0.66	0.84	0.48	0.05	0.31	0.61	0.19	0.39	0.36	0.28
Vps16	0.52	0.36	0.26	0.55	0.79	0.28	0.9	0.32	0.5	0.06	0.44	0.1	0.08	0.24	0.2	0.14
Ablim1	0.79	1.05	0.73	0.84	1.93	0.6	1.32	2.27	0.61	0.32	0.9	0.51	0.08	0.62	0.32	0.86
Gas7	4.81	3.93	2.79	4.07	2.5	2.13	4.44	4.13	2.35	1.69	1.81	1.84	2.15	1.1	0.56	1.33
Atf2	0.94	0.34	2.33	1.38	0.78	0.54	0.99	1.73	0.5	0.14	0.18	1.11	0.27	0.96	0.76	0.1
Usp24	0.2	0.05	0.02	0.22	0.18	0.07	0.18	0.1	0.04	0.04	0.1	0.03	0.08	0.08	0.02	0.07
Lrrfip1	1.28	1.32	1.86	2.28	0.68	0.63	1.59	1.75	0.88	0.1	0.7	1.62	0.71	0.13	0.7	0.28
Sec62	1.57	2.85	2.04	1.51	1.94	0.49	2.14	2.14	0.71	0.48	1.9	0.85	0.71	0.65	0.7	0.64
Clstn1	2.85	3	2.65	3.52	4.41	2.89	2.74	4.45	1.7	2.34	1.99	0.71	1.48	1.52	1.38	0.86
Mcts1	1.57	7.14	3.73	4.41	3.19	4.06	5.3	4.11	1.38	1.98	4.72	2.02	1.31	1.12	1.13	1.5
Cdc42se2	32.45	32.68	27.94	30.38	32.8	29.11	33.51	25.45	11.05	10.75	19.83	15.79	16.01	13.61	13.52	10.13
Atp2b2	5.86	6.41	3.78	6.44	6.48	5.46	5.32	4.92	1.89	2.3	3.27	2.79	2.03	2.7	2.48	2.85
Cuedc1	0.94	0.3	1.46	1.62	0.38	1.66	1.09	1.22	0.68	0.49	0.21	1.15	0.27	0.52	0.56	0.06
Ak5	0.88	0.94	1.07	0.75	1.69	1	1.35	1.23	1.26	0.39	0.57	0.33	0.37	0.31	0.53	0.3
Flot2	2.02	6.74	1.91	2.64	3.65	2.65	4.15	3.72	1.48	1.29	1.69	2.31	2.48	1.22	1.06	0.99
Apoo	7.8	1.47	4.14	2.25	6.76	3.25	6.57	4.8	1.66	2.56	4.91	0.56	1.76	0.71	1.13	3.65
Aak1	2.98	2.97	4.2	4.3	4.53	2.28	5.14	4.55	2.34	2.34	2.26	1.57	1.19	1.04	1.79	1.71
Arhgap23	0.39	0.52	0.16	0.37	0.26	0.31	0.17	0.04	0.2	0.1	0.03	0.19	0.02	0.23	0.07	0.17
Cab39	15.22	12.31	10.71	14.54	17.87	11	14.59	21.28	7.03	6.43	8.4	5.43	6.65	4.18	8.8	7.89
Nav1	0.81	0.92	0.88	1.13	0.84	1.07	1.08	0.72	0.56	0.62	0.75	0.31	0.29	0.41	0.19	0.35
Apc	0.68	0.91	0.73	0.94	1	0.85	0.74	0.92	0.61	0.56	0.36	0.33	0.38	0.47	0.15	0.31
Plaa	6.56	7.55	4.96	5.3	6.66	2.67	4.83	7.66	2.93	2.67	4.01	1.9	3.63	2.07	1.36	3.3
Plppr4	3.19	2.31	3.44	3.22	3.71	3.72	2.98	3.64	1.4	1.35	2.21	1.17	1.96	1.13	1.21	1.97
Ppp2r5b	2.23	2.43	1.68	2.87	3.15	2.02	2.46	2.41	1.48	1.25	1.65	0.58	0.65	0.96	0.85	1.71
Vti1a	3.19	2.99	3.87	1.11	0.97	1.17	4.1	1.16	0.32	1.5	0.92	1.68	0.29	1.85	1.44	0.82
Myl6b	6.09	4.11	6.49	4.18	4.66	7.47	4.81	4.31	2.26	2.83	3.92	3.86	2.34	2.35	1.25	1.19
Coro2b	0.73	1.55	0.84	1.66	0.87	0.87	1.13	1.17	1.01	0.21	0.69	0.46	0.38	0.23	0.52	0.69
Rabgap1	0.82	1.09	1.62	1.07	0.98	1.14	1.34	0.71	0.56	0.43	0.59	0.14	0.76	0.19	0.59	0.94
Crym	53.7	57.9	47.22	51.68	51.87	24.44	60.21	55.56	17.91	17.14	41.86	18.65	34.95	9.18	17.22	36.67
Adap1	5.63	2.98	0.55	7.08	3.88	5.35	2.11	2.71	2.84	1.25	1.95	1.43	1.4	2.62	1.64	1.46
Mturn	66.2	58.62	75.79	44.11	60.11	56.78	47.61	63.68	30.38	55.87	12.83	18.14	34.67	31.56	26.83	17.9
Slc6a11	31.49	32.21	25.51	41.37	32.87	26.15	11.1	41.87	14.54	13.4	22.56	10.79	2.25	17.98	16.27	19.86
Atp8a2	0.26	0.34	0.29	0.12	0.34	0.41	0.32	0.3	0.12	0.18	0.34	0.09	0.1	0.14	0.09	0.11
Sdhaf2	0.41	0.33	0.59	0.52	0.39	0.47	0.54	0.21	0.16	0.24	0.31	0.06	0.24	0.33	0.32	0.04
Pgap1	0.48	0.51	1.21	0.42	0.81	0.26	1.13	0.59	0.32	0.3	0.58	0.18	0.3	0.33	0.33	0.33
Thy1	40.74	41.37	53.19	69.86	67.21	62.18	51.02	33.72	19.24	20.13	30.46	44.67	30.37	19.3	11.61	29.55
Slc2a3	2.73	3.48	2.72	3.17	3.22	3.57	4.38	3.94	0.48	2.01	2.02	2.31	2.12	3.4	0.49	0.5
Dlg4	1.73	1.59	1.93	1.89	2.16	1.91	1.98	2.21	1	0.45	1.71	1.17	0.24	0.65	1.32	1.01
Grk6	0.22	0.3	0.28	0.23	0.24	0.15	0.51	0.44	0.16	0.06	0.34	0.12	0.09	0.11	0.13	0.15
C530008M17Rik	6.45	6.65	6.88	6.1	5.69	8.11	4.43	6	3.35	3.24	3.36	5.02	1.99	3.28	2.24	2.3
Tsc22d1	19.55	5.02	22.46	4.91	18.52	11.41	10.52	5.01	4.6	6.41	3.55	6.87	3.88	5.93	11.94	4.88
Epha5	0.27	0.26	0.15	0.29	0.23	0.37	0.2	0.18	0.23	0.15	0.15	0.04	0.05	0.03	0.2	0.11
Gtf2a1	10.76	6.08	9.89	10.41	10.55	8.47	5.22	3.16	4.19	9.5	3.25	4.18	2.63	3.54	2.2	2.45
Snap47	7.4	7.3	5.55	6.78	7.19	5.58	5.45	4.6	4.34	2.07	3.84	1.92	3.05	3.25	2.84	3.42
Gnal	1.28	1.23	2.08	1.17	0.8	2.18	1.94	1.54	0.79	0.88	1.9	0.53	0.2	0.46	0.72	0.58
Rab3d	6.78	4.08	3.37	5.83	4.56	5.43	7.83	5.52	2.87	0.66	1.65	3.19	1.2	4.66	4.44	2.87
Tenm1	0.39	0.24	0.34	0.13	0.44	0.12	0.22	0.47	0.08	0.18	0.08	0.27	0.15	0.16	0.09	0.15
Gria1	0.68	1.27	0.62	0.8	0.58	0.74	0.8	1.03	0.54	0.19	0.83	0.14	0.6	0.27	0.11	0.56
Smap2	4.06	3.26	4.83	6.14	4.51	3.61	3.63	5.54	0.92	0.84	6.15	1.24	1.88	3.04	1.99	1.67
Praf2	6.68	8.15	8.06	8.06	9.4	1.82	8.88	7.76	6.73	2.92	7.82	1.58	1.16	1.59	6.21	1.29
Brd3	1.6	1.67	1.06	1.81	2.08	0.65	3.84	3.63	1.66	1.19	1.22	0.52	1.38	0.79	0.38	1.01
Mcrip1	11	7.3	17.45	18.33	18.22	9.38	12.71	9.25	3.89	10.84	5.04	9.9	7.25	5.28	5.57	3.92
1-Mar	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1.48	3.16	0.33	0.01	0.68
BC100530	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	2.68	7.16	0.01	1.75	1.75
